Review text,clean_text,normalisasi_text,tokenize,stopword_removal,steming_data
asyiknya,asyiknya,asyiknya,['asyiknya'],['asyiknya'],asyik
"sangat bagus , mudah ketika melakukan pembayaran",sangat bagus mudah ketika melakukan pembayaran,sangat bagus mudah ketika melakukan pembayaran,"['sangat', 'bagus', 'mudah', 'ketika', 'melakukan', 'pembayaran']","['bagus', 'mudah', 'pembayaran']",bagus mudah bayar
ga bisa pembayar lewat qris beli pulsa juga ga bisa ini gimna si pihak shopepay jadi ga nyaman untuk transaksi lainya,bisa pembayar lewat qris beli pulsa juga bisa gimna pihak shopepay jadi nyaman untuk transaksi lainya,bisa pembayar lewat qris beli pulsa juga bisa bagaimana pihak shopepay jadi nyaman untuk transaksi lainya,"['bisa', 'pembayar', 'lewat', 'qris', 'beli', 'pulsa', 'juga', 'bisa', 'bagaimana', 'pihak', 'shopepay', 'jadi', 'nyaman', 'untuk', 'transaksi', 'lainya']","['pembayar', 'qris', 'beli', 'pulsa', 'shopepay', 'nyaman', 'transaksi', 'lainya']",bayar qris beli pulsa shopepay nyaman transaksi lai
Bagus,bagus,bagus,['bagus'],['bagus'],bagus
terimakasih,terimakasih,terimakasih,['terimakasih'],['terimakasih'],terimakasih
cukup puas dengan shopee pay karena memudahkan transaksi,cukup puas dengan shopee karena memudahkan transaksi,cukup puas dengan shopee karena memudahkan transaksi,"['cukup', 'puas', 'dengan', 'shopee', 'karena', 'memudahkan', 'transaksi']","['puas', 'shopee', 'memudahkan', 'transaksi']",puas shopee mudah transaksi
bagusss,bagusss,bagus,['bagus'],['bagus'],bagus
cukup membantu dalam transaksi,cukup membantu dalam transaksi,cukup membantu dalam transaksi,"['cukup', 'membantu', 'dalam', 'transaksi']","['membantu', 'transaksi']",bantu transaksi
"pelayanan buruk, tidak mampu menyelesaikan masalah customer dengan cepat...uang sya blm di kembalikan dri pihak shopee",pelayanan buruk tidak mampu menyelesaikan masalah customer dengan cepatuang kembalikan pihak shopee,pelayanan buruk tidak mampu menyelesaikan masalah customer dengan cepatuang kembalikan pihak shopee,"['pelayanan', 'buruk', 'tidak', 'mampu', 'menyelesaikan', 'masalah', 'customer', 'dengan', 'cepatuang', 'kembalikan', 'pihak', 'shopee']","['pelayanan', 'buruk', 'menyelesaikan', 'customer', 'cepatuang', 'kembalikan', 'shopee']",layan buruk selesai customer cepatuang kembali shopee
"oke lah, membantu",membantu,membantu,['membantu'],['membantu'],bantu
PENIPU!. Saya klaim reward Shopee VIP Roti'o 1 Rupiah mesti suruh Instal shopeepay. Udah download ternyata cuma reward 100 rupiah. Seharusnya S&K nya dibilang di awal. P E N I PU,penipu saya klaim reward shopee rotio rupiah mesti suruh instal shopeepay udah download ternyata cuma reward rupiah seharusnya dibilang awal,penipu saya klaim reward shopee rotio rupiah mesti suruh instal shopeepay sudah download ternyata cuma reward rupiah seharusnya dibilang awal,"['penipu', 'saya', 'klaim', 'reward', 'shopee', 'rotio', 'rupiah', 'mesti', 'suruh', 'instal', 'shopeepay', 'sudah', 'download', 'ternyata', 'cuma', 'reward', 'rupiah', 'seharusnya', 'dibilang', 'awal']","['penipu', 'klaim', 'reward', 'shopee', 'rotio', 'rupiah', 'mesti', 'suruh', 'instal', 'shopeepay', 'download', 'reward', 'rupiah', 'dibilang']",tipu klaim reward shopee rotio rupiah mesti suruh instal shopeepay download reward rupiah bilang
"penipu, tulis diskon 14% pas mau beli malah gk dapat diskonnya, org udh di tf lagi 22.400",penipu tulis diskon beli malah dapat diskonnya lagi ,penipu tulis diskon beli malah dapat diskonnya lagi,"['penipu', 'tulis', 'diskon', 'beli', 'malah', 'dapat', 'diskonnya', 'lagi']","['penipu', 'tulis', 'diskon', 'beli', 'diskonnya']",tipu tulis diskon beli diskon
ga bisa ganti KTP baru,bisa ganti baru,bisa ganti baru,"['bisa', 'ganti', 'baru']",['ganti'],ganti
"Pengembalian dana sangat tidak adil, pengembalian barang juga sangat sulit tidak bisa di jemput kurir padahal toko banyak penipu. membuat saya rugi menerima aja keputusan tidak adil. aplikasi sangat mengecewakan.",pengembalian dana sangat tidak adil pengembalian barang juga sangat sulit tidak bisa jemput kurir padahal toko banyak penipu membuat saya rugi menerima keputusan tidak adil aplikasi sangat mengecewakan,pengembalian dana sangat tidak adil pengembalian barang juga sangat sulit tidak bisa jemput kurir padahal toko banyak penipu membuat saya rugi menerima keputusan tidak adil aplikasi sangat mengecewakan,"['pengembalian', 'dana', 'sangat', 'tidak', 'adil', 'pengembalian', 'barang', 'juga', 'sangat', 'sulit', 'tidak', 'bisa', 'jemput', 'kurir', 'padahal', 'toko', 'banyak', 'penipu', 'membuat', 'saya', 'rugi', 'menerima', 'keputusan', 'tidak', 'adil', 'aplikasi', 'sangat', 'mengecewakan']","['pengembalian', 'dana', 'adil', 'pengembalian', 'barang', 'sulit', 'jemput', 'kurir', 'toko', 'penipu', 'rugi', 'menerima', 'keputusan', 'adil', 'aplikasi', 'mengecewakan']",kembali dana adil kembali barang sulit jemput kurir toko tipu rugi terima putus adil aplikasi kecewa
"praktis, mudah digunakan",praktis mudah digunakan,praktis mudah digunakan,"['praktis', 'mudah', 'digunakan']","['praktis', 'mudah']",praktis mudah
aku kasih bintang lima biar komen aku di atas ini aplikasi sangat tidak bagus,kasih bintang lima biar komen atas aplikasi sangat tidak bagus,kasih bintang lima biar komen atas aplikasi sangat tidak bagus,"['kasih', 'bintang', 'lima', 'biar', 'komen', 'atas', 'aplikasi', 'sangat', 'tidak', 'bagus']","['kasih', 'bintang', 'biar', 'komen', 'aplikasi', 'bagus']",kasih bintang biar komen aplikasi bagus
"suka berguna juga ya,programnya & internalnya lebih fleksibel dipakai,tidak beriklan,bug,ataupun lelet,cepat bila dijalankan & mengakses smu menu2nya. Tapi di sayangkan pernah juga dipakai terkadang agak"" sulit membukanya pas saat koneksi lagi buruk / tidak stabil,terkadang perputarannya lambat banget dan cuma berputar-putar saja. mungkin cuma hal yang biasa terjadi di apps ini dan yang lain-lainnya sesuai pengalaman transaksi sukses,,masukan tuk perkembangannya dibenahi segalanya...",suka berguna juga yaprogramnya internalnya lebih fleksibel dipakaitidak beriklanbugataupun leletcepat bila dijalankan mengakses menunya tapi sayangkan pernah juga dipakai terkadang agak sulit membukanya saat koneksi lagi buruk tidak stabilterkadang perputarannya lambat banget cuma berputarputar saja mungkin cuma yang biasa terjadi apps yang lainlainnya sesuai pengalaman transaksi suksesmasukan perkembangannya dibenahi segalanya,suka berguna juga yaprogramnya internalnya lebih fleksibel dipakaitidak beriklanbugataupun leletcepat bila dijalankan mengakses menunya tapi sayangkan pernah juga dipakai terkadang agak sulit membukanya saat koneksi lagi buruk tidak stabilterkadang perputarannya lambat banget cuma berputarputar saja mungkin cuma yang biasa terjadi apps yang lainlainnya sesuai pengalaman transaksi suksesmasukan perkembangannya dibenahi segalanya,"['suka', 'berguna', 'juga', 'yaprogramnya', 'internalnya', 'lebih', 'fleksibel', 'dipakaitidak', 'beriklanbugataupun', 'leletcepat', 'bila', 'dijalankan', 'mengakses', 'menunya', 'tapi', 'sayangkan', 'pernah', 'juga', 'dipakai', 'terkadang', 'agak', 'sulit', 'membukanya', 'saat', 'koneksi', 'lagi', 'buruk', 'tidak', 'stabilterkadang', 'perputarannya', 'lambat', 'banget', 'cuma', 'berputarputar', 'saja', 'mungkin', 'cuma', 'yang', 'biasa', 'terjadi', 'apps', 'yang', 'lainlainnya', 'sesuai', 'pengalaman', 'transaksi', 'suksesmasukan', 'perkembangannya', 'dibenahi', 'segalanya']","['suka', 'berguna', 'yaprogramnya', 'internalnya', 'fleksibel', 'dipakaitidak', 'beriklanbugataupun', 'leletcepat', 'dijalankan', 'mengakses', 'menunya', 'sayangkan', 'dipakai', 'terkadang', 'sulit', 'membukanya', 'koneksi', 'buruk', 'stabilterkadang', 'perputarannya', 'lambat', 'banget', 'berputarputar', 'apps', 'lainlainnya', 'sesuai', 'pengalaman', 'transaksi', 'suksesmasukan', 'perkembangannya', 'dibenahi']",suka guna yaprogramnya internal fleksibel dipakaitidak beriklanbugataupun leletcepat jalan akses menu sayang pakai terkadang sulit buka koneksi buruk stabilterkadang putar lambat banget berputarputar apps lainlainnya sesuai alam transaksi suksesmasukan kembang benah
mantap pake shopeepay,mantap pake shopeepay,mantap pakai shopeepay,"['mantap', 'pakai', 'shopeepay']","['mantap', 'pakai', 'shopeepay']",mantap pakai shopeepay
setiap minggu minta update apk.bikin lemot dan kenapa pinjaman saya selalu ditolak.,setiap minggu minta update apkbikin lemot kenapa pinjaman saya selalu ditolak,setiap minggu meminta update apkbikin lemot kenapa pinjaman saya selalu ditolak,"['setiap', 'minggu', 'meminta', 'update', 'apkbikin', 'lemot', 'kenapa', 'pinjaman', 'saya', 'selalu', 'ditolak']","['minggu', 'update', 'apkbikin', 'lemot', 'pinjaman', 'ditolak']",minggu update apkbikin lot pinjam tolak
bagus ..semua pembayaran bisa pakai spay...mudah dan cepat,bagus semua pembayaran bisa pakai spaymudah cepat,bagus semua pembayaran bisa pakai spaymudah cepat,"['bagus', 'semua', 'pembayaran', 'bisa', 'pakai', 'spaymudah', 'cepat']","['bagus', 'pembayaran', 'pakai', 'spaymudah', 'cepat']",bagus bayar pakai spaymudah cepat
sangat mudah dn cepat,sangat mudah cepat,sangat mudah cepat,"['sangat', 'mudah', 'cepat']","['mudah', 'cepat']",mudah cepat
Depresi,depresi,depresi,['depresi'],['depresi'],depresi
lebih pakai aplikasi ini,lebih pakai aplikasi,lebih pakai aplikasi,"['lebih', 'pakai', 'aplikasi']","['pakai', 'aplikasi']",pakai aplikasi
sangat membantu. makasih,sangat membantu makasih,sangat membantu terima kasih,"['sangat', 'membantu', 'terima', 'kasih']","['membantu', 'terima', 'kasih']",bantu terima kasih
Tidak bisa buat bayar quaris padahal udah update dan bersihkan data cache. Tidak ada perbaikan!!! selalu muncul kesalahan sistem😔😭,tidak bisa buat bayar quaris padahal udah update bersihkan data cache tidak perbaikan selalu muncul kesalahan sistem,tidak bisa buat bayar quaris padahal sudah update bersihkan data cache tidak perbaikan selalu muncul kesalahan sistem,"['tidak', 'bisa', 'buat', 'bayar', 'quaris', 'padahal', 'sudah', 'update', 'bersihkan', 'data', 'cache', 'tidak', 'perbaikan', 'selalu', 'muncul', 'kesalahan', 'sistem']","['bayar', 'quaris', 'update', 'bersihkan', 'data', 'cache', 'perbaikan', 'muncul', 'kesalahan', 'sistem']",bayar quaris update sih data cache baik muncul salah sistem
aplikasi busuk gk bs terpakai saldo saya nyangkut di aplikasi gk bs di tarik gk bs buat belanja. Bgmn tuh min?,aplikasi busuk terpakai saldo saya nyangkut aplikasi tarik buat belanja bgmn,aplikasi busuk terpakai saldo saya nyangkut aplikasi tarik buat belanja bagaimana,"['aplikasi', 'busuk', 'terpakai', 'saldo', 'saya', 'nyangkut', 'aplikasi', 'tarik', 'buat', 'belanja', 'bagaimana']","['aplikasi', 'busuk', 'terpakai', 'saldo', 'nyangkut', 'aplikasi', 'tarik', 'belanja']",aplikasi busuk pakai saldo nyangkut aplikasi tarik belanja
bagus banget pula,bagus banget pula,bagus banget pula,"['bagus', 'banget', 'pula']","['bagus', 'banget']",bagus banget
good job,good,good,['good'],['good'],good
saya mendapatkan voucher gratis cicilan 1x pembayaran tapi tetap saja harus membayarnya. kecewa.,saya mendapatkan voucher gratis cicilan pembayaran tapi tetap saja harus membayarnya kecewa,saya mendapatkan voucher gratis cicilan pembayaran tapi tetap saja harus membayarnya kecewa,"['saya', 'mendapatkan', 'voucher', 'gratis', 'cicilan', 'pembayaran', 'tapi', 'tetap', 'saja', 'harus', 'membayarnya', 'kecewa']","['voucher', 'gratis', 'cicilan', 'pembayaran', 'membayarnya', 'kecewa']",voucher gratis cicil bayar bayar kecewa
"pengen ganti nomor ribetnya minta ampun, minta kode OTP selalu ada kesalahan.👎",pengen ganti nomor ribetnya minta ampun minta kode selalu kesalahan,pengin ganti nomor ribetnya meminta ampun meminta kode selalu kesalahan,"['pengin', 'ganti', 'nomor', 'ribetnya', 'meminta', 'ampun', 'meminta', 'kode', 'selalu', 'kesalahan']","['pengin', 'ganti', 'nomor', 'ribetnya', 'ampun', 'kode', 'kesalahan']",pengin ganti nomor ribetnya ampun kode salah
