"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1599291166373351431","Sun Dec 04 11:41:52 +0000 2022","34","@rawrhorangi_ @yaaudaiya @tanyakanrl Menurut riset BMKG diprediksi laut selatan pulau jawa akan ad tsunami yg dipicu gempa megathrust..belum lagi sesar di jawa yg sdg aktif2nya..tp smg saja Allah Subhanahu wa ta'ala menjauhkan kita semua dr bencana krn smua brjalan atas kehendakNYA..aamiin..","1599368387075145728","","","in","","0","0","1","https://x.com/undefined/status/1599368387075145728","385312321",
"1599237340870119426","Sun Dec 04 06:41:27 +0000 2022","1","@adhixxtysm @infoBMKG Bahkan BMKG pun sering mengeluarkan statemen seperti sesar Lembang Megathrust dll yang dikatakan dalam waktu dekat akan bergerak bukan berarti menambah kepanikan kan? Tapi agar masyarakat waspada dan bersiap.","1599292783466262535","","adhixxtysm","in","","0","1","0","https://x.com/undefined/status/1599292783466262535","1262855045701234689",
"1599288264946769921","Sun Dec 04 06:23:30 +0000 2022","2","Akhir-akhir ini sering aktivitas kegempaan di daerah selatan pulau Jawa sangat aktif. Semoga ini bukan pertanda gejolak megathrust.","1599288264946769921","","","in","","0","1","0","https://x.com/undefined/status/1599288264946769921","1388506295972503552",
"1598261681607839750","Sun Dec 04 05:18:05 +0000 2022","0","@Sangramadhan @HeryIdris5 @GhostOneSeven @panca66 Problem terbesar itu kemudian di banjir ROB. Krn memang faktanya air laut selalu naik Nah maka pindah ke topik 2 ini menjadi salah satu pertimbangan tentang daya dukung ibukota. Dimana posisi Jakarta : 1. di area penuh bencana yaitu sesar dan potensi megathrust","1599271801817026567","","adisatya","in","","0","1","0","https://x.com/undefined/status/1599271801817026567","47331849",
"1599179402138779649","Sun Dec 04 04:08:38 +0000 2022","0","@asmurcom Sejauh ini belum ada gempa yg se-katastrof 2022 ini sih. Biasanya gempa2 berpusat di laut barat daya Sukabumi (sering di zona megathrust)","1599254325104377859","","catreonot","in","","0","1","0","https://x.com/undefined/status/1599254325104377859","1439821712",
"1599210533114507264","Sun Dec 04 01:14:37 +0000 2022","0","semoga pemerintah daerah jawa barat sudah menyiapin pencegahan potensi gempa bumi megathrust dan tsunami 34 meter di pesisir pantai selatan Jawa Barat yang diprediksi dapat terjadi di masa yang akan datang.","1599210533114507264","","","in","","0","0","0","https://x.com/undefined/status/1599210533114507264","3269803928",
"1599198441191903232","Sun Dec 04 00:26:34 +0000 2022","0","Bukan Megathrust Gempa Garut Termasuk dalam Intraslab Begini Penjelasannya https://t.co/kAsLrxVHpp","1599198441191903232","","","in","","0","0","0","https://x.com/undefined/status/1599198441191903232","282667727",
"1599162602663608321","Sat Dec 03 23:23:52 +0000 2022","0","@DetiPreda @infoBMKG Gempa megathrust itu gempa besar yang berpotensi menimbulkan tsunami","1599182660802613249","","DetiPreda","in","","0","0","0","https://x.com/undefined/status/1599182660802613249","778822646024720384",
"1599162602663608321","Sat Dec 03 23:20:34 +0000 2022","2","@DetiPreda @joni_member @infoBMKG megathrust itu kaka ipar megawati sama-sama bahaya bagi masyarakat nder .. Stay safe","1599181829969694720","","DetiPreda","in","","0","1","0","https://x.com/undefined/status/1599181829969694720","1478186116452798464",
"1599162602663608321","Sat Dec 03 23:14:56 +0000 2022","1","@joni_member @infoBMKG Mksdnya megathrust apa ya monmaap gak tau","1599180411166674944","","joni_member","in","","0","2","0","https://x.com/undefined/status/1599180411166674944","1536684054078033921",
